Site Number,Site Name,Gridreference,Easting,Northing,Length,Country,No.sections,No. yrs surveyed,First year surveyed,Last year surveyed,Survey type
"3,501",Ecos Park,D119035,"126,900","560,745","2,040",Northern Ireland,14,6,"2,005","2,010",UKBMS
"3,502",Lagan Meadows,J335703,"145,590","525,812","2,148",Northern Ireland,10,8,"2,005","2,012",UKBMS
"3,504",Slievenacloy,J250712,"137,196","527,433","1,705",Northern Ireland,11,9,"2,006","2,015",UKBMS
"3,511",Banagher Glen,C672045,"82,424","565,570","1,230",Northern Ireland,11,10,"2,006","2,015",UKBMS
"3,523",Minnowburn,J3268,"143,899","523,647","2,817",Northern Ireland,6,8,"2,006","2,015",UKBMS
"3,538",Belvoir Park Forest,J335695,"145,523","525,016","2,500",Northern Ireland,5,7,"2,007","2,015",UKBMS
"3,539",Crom Estate,H355239,"43,931","487,891","3,140",Northern Ireland,5,7,"2,007","2,014",UKBMS
"3,541",Craigavon Lakes,J054575,"116,493","515,451",,Northern Ireland,11,7,"2,009","2,015",UKBMS
"3,542",Crossgar,J461521,"156,596","506,604",,Northern Ireland,11,1,"2,008","2,008",UKBMS
"3,543",Milford Railway Cutting (new),H860430,"95,919","502,647",200,Northern Ireland,4,2,"2,008","2,009",UKBMS
"3,544",Portstewart Strand,C795362,"97,409","596,121","2,500",Northern Ireland,12,6,"2,009","2,015",UKBMS
"3,545",Portinode Kesh,H146645,"26,542","530,176","1,800",Northern Ireland,7,1,"2,009","2,009",UKBMS
"3,546",Oxford Island (new),J055610,"116,891","518,931",,Northern Ireland,14,7,"2,009","2,015",UKBMS
"3,548",Whitepark Bay,D014437,"119,885","601,715","2,667",Northern Ireland,14,3,"2,010","2,015",UKBMS
"3,549",Sir Thomas and Lady Dixon Park,J307677,"142,579","523,461","2,094",Northern Ireland,5,2,"2,010","2,011",UKBMS
"3,550",McIlroy Park,J292669,"141,016","522,791","2,063",Northern Ireland,5,2,"2,010","2,011",UKBMS
