Site Number,Site Name,Gridreference,Easting,Northing,Length,Country,No.sections,No. yrs surveyed,First year surveyed,Last year surveyed,Survey type
"1,468",Butterfly Haven,TQ309072,"530,900","107,200",454,England,10,3,"2,010","2,012",UKBMS
"1,469",Minepits - Hartley Green Copse,SU872284,"487,200","128,400","1,550",England,9,9,"2,007","2,015",UKBMS
"1,470","Bignor Hill, Slindon Estate (NT)",SU972128,"497,200","112,800","1,890",England,10,6,"2,010","2,015",UKBMS
"1,471",Chapel Common,SU820285,"482,000","128,500","5,000",England,6,6,"2,010","2,015",UKBMS
"1,472",Friston Hill,TV550997,"555,000","99,700","2,900",England,10,2,"2,010","2,011",UKBMS
"1,473",Graffham Down - Parish A,SU920160,"492,000","116,000",,England,1,3,"2,010","2,012",UKBMS
"1,474","Tilletts Lane Fields, Warnham",TQ153339,"515,300","133,900","1,200",England,7,6,"2,010","2,015",UKBMS
"1,475",Lodge Copse,SU973167,"497,300","116,700",850,England,8,5,"2,010","2,015",UKBMS
"1,476",West Kingston Reserve,TQ079016,"507,900","101,600","1,550",England,1,6,"2,010","2,015",UKBMS
"1,477",Roundstone Nurseries Newlands,SU898017,"489,800","101,700","1,960",England,6,3,"2,010","2,013",UKBMS
"1,478",Rowland Wood and Park Corner Heath,TQ515417,"551,500","141,700","1,900",England,9,3,"2,010","2,012",UKBMS
"1,479",Whitehawk Hill LNR,TQ332047,"533,200","104,700","1,040",England,8,2,"2,011","2,012",UKBMS
"1,480",Hollingdean,TQ321072,"532,100","107,200","1,900",England,5,5,"2,011","2,015",UKBMS
"1,481",Shoreham Beach,TQ222045,"522,200","104,500","1,200",England,1,1,"2,011","2,011",UKBMS
"1,482",Mill Hill,TQ211072,"521,100","107,200","1,629",England,8,5,"2,011","2,015",UKBMS
"1,483","Blackjack Wood, Slindon Estste",SU969119,"496,900","111,900","2,285",England,11,5,"2,011","2,015",UKBMS
"1,484",Markstakes Common,TQ398180,"539,800","118,000","1,677",England,12,4,"2,012","2,015",UKBMS
"1,486",Brede High Woods,TQ790203,"579,000","120,300","3,277",England,7,2,"2,013","2,015",UKBMS
"1,487",Fairmile Bottom LNR,SU988094,"498,800","109,400","1,200",England,2,2,"2,014","2,015",UKBMS
"1,488",Iping & Stedham Commons,SU852219,"485,200","121,900","4,000",England,5,2,"2,014","2,015",UKBMS
"1,490",Pulborough Brooks RSPB,TQ059167,"505,900","116,700","1,880",England,8,1,"2,015","2,015",UKBMS
"1,491",Graffham Down - Paterson,SU915162,"491,500","116,200","1,000",England,4,1,"2,015","2,015",UKBMS
"1,492","Graffham Down, Dimmer",SU911163,"491,100","116,300",380,England,1,1,"2,015","2,015",UKBMS
"1,493","Graffham Down, Parish",SU914163,"491,400","116,300",140,England,1,1,"2,015","2,015",UKBMS
"1,500",Cowden Pound Pastures,TQ45904330,"545,900","143,300","1,300",England,1,7,"2,008","2,014",UKBMS
"1,501",Darland Banks West,TQ78306630,"578,300","166,300","2,350",England,15,5,"1,997","2,001",UKBMS
"1,502",Darland Banks Main,TQ79206540,"579,200","165,400",,England,15,5,"1,997","2,001",UKBMS
"1,503",Hothfield Common,TQ96804580,"596,800","145,800","3,100",England,15,13,"1,990","2,015",UKBMS
"1,504","Polhill Banks, Sevenoaks",TQ50806040,"550,800","160,400","1,250",England,8,1,"2,003","2,003",UKBMS
"1,505",Lydden Temple Ewell Downs,TR28504470,"628,500","144,700","2,850",England,12,6,"1,992","1,997",UKBMS
"1,510",Burham Down,TQ73506240,"573,500","162,400","2,500",England,14,6,"1,995","2,001",UKBMS
"1,511",Burnt Oak Wood,TQ990349,"599,000","134,900","2,450",England,13,30,"1,984","2,015",UKBMS
"1,519",Sandwich Bay,TR35206160,"635,200","161,600",,England,15,16,"1,984","2,003",UKBMS
"1,520","Colepit Lane, Torry Hill",TQ90705650,"590,700","156,500","1,900",England,8,12,"1,992","2,003",UKBMS
"1,521","Mintching Wood, Torry Hill",TQ91605860,"591,600","158,600","1,700",England,12,12,"1,992","2,003",UKBMS
"1,522","Warren Bank, Torry Hill",TQ91805670,"591,800","156,700","1,000",England,4,12,"1,992","2,003",UKBMS
"1,523","Wrinsted, Torry Hill",TQ89705530,"589,700","155,300","1,850",England,8,12,"1,992","2,003",UKBMS
"1,524",Orlestone Forest,TQ98103550,"598,100","135,500","2,500",England,13,21,"1,992","2,015",UKBMS
"1,525",Tudeley Woods - The Plants,TQ62604440,"562,600","144,400","2,000",England,10,29,"1,987","2,015",UKBMS
"1,526",Tudeley Woods - Brakey Bank,TQ61504350,"561,500","143,500","2,350",England,10,29,"1,987","2,015",UKBMS
"1,528",Queendown Warren L.N.R,TQ82706290,"582,700","162,900",,England,14,3,"1,999","2,001",UKBMS
"1,529",Larkey Valley Wood,TR12505550,"612,500","155,500","1,950",England,10,11,"2,004","2,015",UKBMS
"1,530",Broadham Down,TR08505300,"608,500","153,000","2,000",England,12,3,"2,000","2,002",UKBMS
"1,532",Fackenden Down,TQ530608,"553,000","160,800","1,552",England,9,1,"2,003","2,003",UKBMS
"1,533",White Hill Shoreham,TQ52806130,"552,800","161,300",880,England,6,3,"2,001","2,004",UKBMS
"1,535",High Elms,TQ44606350,"544,600","163,500",,England,8,9,"1,997","2,007",UKBMS
"1,536",Jubilee Country Park,TQ440698,"544,000","169,800","2,019",England,9,12,"2,004","2,015",UKBMS
"1,537",Scadbury Park,TQ460702,"546,000","170,200","1,667",England,8,10,"2,004","2,015",UKBMS
"1,538",Hawkshill Common,TR37304980,"637,300","149,800","1,141",England,6,9,"2,005","2,015",UKBMS
"1,539",Downe Bank,TQ43806090,"543,800","160,900",,England,10,6,"2,005","2,015",UKBMS
"1,540",Palm Bay,TR38407140,"638,400","171,400","1,342",England,8,9,"2,005","2,015",UKBMS
"1,541",Down House Estate,TQ43106110,"543,100","161,100","1,680",England,7,11,"2,005","2,015",UKBMS
"1,542",Tudeley Woods - The Plants (2),TQ62604440,"562,600","144,400","2,000",England,10,29,"1,987","2,015",UKBMS
"1,544",Pegwell Bay CP,TR34106320,"634,100","163,200","1,750",England,10,8,"2,005","2,015",UKBMS
"1,545",Stonelees,TR33806250,"633,800","162,500","2,320",England,15,8,"2,005","2,015",UKBMS
"1,546",Cole Wood - Broad Oak/Blean,TR15506200,"615,500","162,000","3,560",England,11,9,"2,006","2,015",UKBMS
"1,547",Sandwich Bay,TR34906170,"634,900","161,700","3,538",England,10,4,"2,007","2,010",UKBMS
"1,548",Cliffside Drive/Dumpton walk,TR392663,"639,200","166,300","3,150",England,5,5,"2,010","2,014",UKBMS
"1,550",Well Wood,TQ396643,"539,600","164,300","1,632",England,6,4,"2,005","2,013",UKBMS
"1,551",Darrick Woods & Newstead Common,TQ444649,"544,400","164,900","1,138",England,6,2,"2,009","2,010",UKBMS
"1,552",West Blean Wood West,TR157636,"615,700","163,600","2,265",England,9,5,"2,010","2,015",UKBMS
"1,553",West Blean Wood East,TR166635,"616,600","163,500","4,190",England,15,4,"2,011","2,015",UKBMS
"1,554",Hothfield Common Extension,TQ964458,"596,400","145,800","2,000",England,10,2,"2,014","2,015",UKBMS
"1,555",CT10 1RX to Montefiore Woodland,TR376646,"637,600","164,600","2,500",England,6,3,"2,012","2,014",UKBMS
"1,556",West Wickham Common,TQ398652,"539,800","165,200",300,England,13,7,"2,001","2,015",UKBMS
"1,557",Wraik Hill Nature Reserve,TR097638,"609,700","163,800","2,436",England,13,3,"2,012","2,015",UKBMS
"1,558",Thornden Woods,TR144635,"614,400","163,500","5,194",England,14,1,"2,012","2,012",UKBMS
"1,559",Reculver Country Park,TR225695,"622,500","169,500","3,981",England,12,3,"2,012","2,015",UKBMS
"1,560",Fox's Cross Nature Reserve,TR093634,"609,300","163,400","1,071",England,8,3,"2,012","2,015",UKBMS
"1,561",Sandwich Bay Estate,TR361573,"636,100","157,300",,England,,3,"2,013","2,015",UKBMS
"1,563",Telegraph Farm,TR307513,"630,700","151,300","1,250",England,5,1,"2,014","2,014",UKBMS
"1,564",Darland Banks A,TQ791655,"579,100","165,500","2,323",England,14,2,"2,014","2,015",UKBMS
"1,565",Darland Banks B,TQ781661,"578,100","166,100","2,522",England,13,2,"2,014","2,015",UKBMS
"1,566",Tonbridge Water Meadows,TQ611472,"561,100","147,200",200,England,6,2,"2,014","2,015",UKBMS
"1,567",Highlands Farm,TQ962345,"596,200","134,500","3,117",England,12,2,"2,014","2,015",UKBMS
"1,568",Bedgebury Pinetum,TQ719335,"571,900","133,500","6,000",England,9,2,"2,014","2,015",UKBMS
"1,569",Westgate Parks,TR143577,"614,300","157,700","1,630",England,5,2,"2,014","2,015",UKBMS
"1,570",Sevenoaks Wildlife Reserve,TQ522569,"552,200","156,900","2,700",England,11,2,"2,014","2,015",UKBMS
"1,571",Sprivers,TQ693399,"569,300","139,900","2,891",England,13,1,"2,014","2,014",UKBMS
"1,575",Covert Wood,TR183481,"618,300","148,100","1,650",England,4,1,"2,015","2,015",UKBMS
"1,576",Kemsing Down,TQ555593,"555,500","159,300","2,372",England,8,1,"2,015","2,015",UKBMS
"1,577",Lydden Hill,TR254461,"625,400","146,100","1,180",England,5,1,"2,015","2,015",UKBMS
"1,578",Montefiore Wood & Dumpton (2015 route),TR392662,"639,200","166,200","4,425",England,9,1,"2,015","2,015",UKBMS
"1,579",Tarn Park,TQ427733,"542,700","173,300","1,000",England,2,1,"2,015","2,015",UKBMS
"1,580",Tudeley Woods - Pembury Heath,TQ616422,"561,600","142,200","2,000",England,10,1,"2,015","2,015",UKBMS
"1,581",Queendown Warren 2,TQ829628,"582,900","162,800","3,000",England,7,1,"2,015","2,015",UKBMS
"1,582",Wouldham,TQ725633,"572,500","163,300",600,England,3,1,"2,015","2,015",UKBMS
"1,583",The Larches,TQ789588,"578,900","158,800","2,000",England,4,1,"2,015","2,015",UKBMS
"1,601",Hartsholme Country Park,SK94406970,"494,400","369,700","3,555",England,10,1,"2,002","2,002",UKBMS
"1,603",Chambers Farm Wood,TF150740,"515,000","374,000","3,660",England,6,10,"1,994","2,003",UKBMS
"1,607",Snakeholme Pit,TF11507160,"511,500","371,600",400,England,11,28,"1,988","2,015",UKBMS
"1,608",Twyford Glades,SK95402250,"495,400","322,500",830,England,7,15,"2,000","2,015",UKBMS
"1,610",Twyford Sanctuary,SK94302330,"494,300","323,300",580,England,6,16,"1,999","2,015",UKBMS
"1,614",Red Hill Nature Reserve,TF26708060,"526,700","380,600","1,740",England,7,16,"2,000","2,015",UKBMS
"1,615",Southrey Wood,TF130680,"513,000","368,000","2,390",England,9,6,"2,007","2,015",UKBMS
"1,616",Whisby Nature Park,SK911670,"491,100","367,000","1,282",England,6,6,"2,009","2,014",UKBMS
"1,617",FRAMPTON MARSH RSPB,TF356392,"535,600","339,200","2,450",England,8,1,"2,012","2,012",UKBMS
"1,618",Frampton Marsh (2015 route),TF356391,"535,600","339,100","2,000",England,9,1,"2,015","2,015",UKBMS
"1,701",Piddledown Common,SX72908990,"272,900","89,900",620,England,10,17,"1,997","2,014",UKBMS
"1,703",Aish Tor,SX70407100,"270,400","71,000","2,100",England,12,16,"2,000","2,015",UKBMS
"1,705",Little Breach,ST11501550,"311,500","115,500",400,England,7,18,"1,997","2,015",UKBMS
"1,706",Haldon Forest,SX87208450,"287,200","84,500","2,767",England,8,8,"1,995","2,006",UKBMS
"1,707",Dunsdon Farm 1 (MF transect),SS29600820,"229,600","108,200","1,300",England,5,8,"1,999","2,006",UKBMS
"1,708",Ashclyst Forest,SX99909950,"299,900","99,500",400,England,1,6,"2,002","2,015",UKBMS
"1,709",North Wyke ECN,SX660985,"266,000","98,500","4,144",England,15,13,"1,993","2,006",UKBMS
"1,710",Lydford,SX490836,"249,000","83,600","1,500",England,6,21,"1,994","2,015",UKBMS
"1,714",Dunsdon Farm 2,SS29700780,"229,700","107,800","1,374",England,8,3,"2,000","2,003",UKBMS
"1,715",Fowlescombe Farm,SX69505520,"269,500","55,200","2,160",England,9,3,"2,001","2,003",UKBMS
"1,717",West Down (Dartmoor),SX48407030,"248,400","70,300",900,England,6,13,"2,003","2,015",UKBMS
"1,718","Ruggadon, Trusham",SX85608160,"285,600","81,600","1,680",England,7,4,"2,002","2,005",UKBMS
"1,719",Lustleigh Cleave,SX76208200,"276,200","82,000","1,200",England,6,2,"2,003","2,004",UKBMS
"1,720",Kerswell Down,SX87206760,"287,200","67,600","1,345",England,10,13,"2,003","2,015",UKBMS
"1,721",Bovey Heath,SX82407650,"282,400","76,500","1,140",England,7,11,"2,003","2,015",UKBMS
"1,722",Waterleat,SX75307240,"275,300","72,400",540,England,13,5,"2,002","2,006",UKBMS
"1,723",Stover Country Park,SX83207510,"283,200","75,100","1,000",England,6,8,"2,004","2,011",UKBMS
"1,724",Staddon Moor,SS680025,"268,000","102,500","2,050",England,12,2,"2,003","2,004",UKBMS
"1,726",Dunsford Wood,SX78508920,"278,500","89,200","1,100",England,3,6,"2,002","2,007",UKBMS
"1,727",Corner Wood and Kiln Close,SX7572,"275,000","72,000",530,England,6,1,"2,005","2,005",UKBMS
"1,728",Blackdown Common 2005 route,ST11201540,"311,200","115,400","1,700",England,4,11,"2,005","2,015",UKBMS
"1,729",Bovey Heath cmpt 2,SX82407680,"282,400","76,800","1,855",England,15,1,"2,006","2,006",UKBMS
"1,730",Slapton Ley NNR - Loworthy,SX82504650,"282,500","46,500",,England,4,2,"2,006","2,007",UKBMS
"1,731",Slapton Ley NNR - Nature Trail,SX820442,"282,000","44,200",,England,5,2,"2,006","2,007",UKBMS
"1,733",Park Farm,SY29909510,"329,900","95,100","2,500",England,9,9,"2,007","2,015",UKBMS
"1,734",Bovey Heath comp 2 new,SX82407680,"282,400","76,800",770,England,11,1,"2,007","2,007",UKBMS
"1,735",Yarner Wood extension,SX787789,"278,700","78,900",250,England,2,6,"2,009","2,015",UKBMS
"1,736",Clennon Hill,SX880594,"288,000","59,400","1,712",England,10,7,"2,008","2,015",UKBMS
"1,737",Primley wood and meadow,SX878602,"287,800","60,200","1,143",England,6,7,"2,008","2,015",UKBMS
"1,738",Ideford Common SSSI,SX900787,"290,000","78,700",956,England,5,6,"2,010","2,015",UKBMS
"1,739",Yeo Valley Community Woodland,SS574338,"257,400","133,800","1,410",England,6,5,"2,010","2,015",UKBMS
"1,740",Bovey Heath comp 2 (2010 route),SX825769,"282,500","76,900","1,150",England,7,6,"2,010","2,015",UKBMS
"1,741",Slapton Ley NNR,SX823463,"282,300","46,300","1,263",England,7,5,"2,011","2,015",UKBMS
"1,742",Exminster Marshes RSPB Reserve,SX956867,"295,600","86,700","1,460",England,5,5,"2,011","2,015",UKBMS
"1,743",Saltram Park,SX522549,"252,200","54,900","1,225",England,6,5,"2,011","2,015",UKBMS
"1,744",Upcott Farm,SS823130,"282,300","113,000","1,825",England,10,5,"2,011","2,015",UKBMS
"1,745","Bowden Hill, Ashburton",SX753698,"275,300","69,800","1,561",England,9,5,"2,011","2,015",UKBMS
"1,746",Berry Head Transect 3,SX939562,"293,900","56,200","1,711",England,10,4,"2,011","2,015",UKBMS
"1,747",Primley Wood and Meadow extension,SX878602,"287,800","60,200",297,England,2,3,"2,012","2,015",UKBMS
"1,748",Waterleat extension,SX751723,"275,100","72,300",250,England,2,4,"2,012","2,015",UKBMS
"1,749",West Down Shaugh Prior,SX542636,"254,200","63,600","1,880",England,9,1,"2,012","2,012",UKBMS
"1,750",Home Farm Marsh Reserve,SS498329,"249,800","132,900","2,300",England,6,2,"2,011","2,012",UKBMS
"1,751",Churchills Local Nature Reserve,SX852722,"285,200","72,200","1,000",England,5,4,"2,012","2,015",UKBMS
"1,752",Weston,SY169885,"316,900","88,500","2,325",England,8,2,"2,013","2,015",UKBMS
"1,753",Northam Burrows,SS439309,"243,900","130,900","1,900",England,8,2,"2,013","2,014",UKBMS
"1,756",Meeth Quarry,SS536084,"253,600","108,400","2,000",England,9,2,"2,014","2,015",UKBMS
"1,757",Dartington River Walk,SX800630,"280,000","63,000","1,000",England,10,1,"2,014","2,014",UKBMS
"1,758",Andrew's Wood,SX704516,"270,400","51,600",925,England,8,2,"2,014","2,015",UKBMS
"1,760",Cookworthy Forest,SS417017,"241,700","101,700","2,890",England,10,1,"2,015","2,015",UKBMS
"1,761",Andrew's Wood 3,SX711516,"271,100","51,600","1,000",England,7,1,"2,015","2,015",UKBMS
"1,762",Park Farm Kingsbridge,SX734427,"273,400","42,700","1,800",England,7,1,"2,015","2,015",UKBMS
"1,763",Sigford,SX777741,"277,700","74,100","1,810",England,9,1,"2,015","2,015",UKBMS
"1,764",Clifford Bridge,SX768896,"276,800","89,600","3,750",England,11,1,"2,015","2,015",UKBMS
"1,780",Waterleat 2006,SX75307240,"275,300","72,400",930,England,13,10,"2,006","2,015",UKBMS
"1,801","Bunnys Hill, Cardinham",SX11706760,"211,700","67,600",800,England,10,5,"1,999","2,004",UKBMS
"1,802","Tuckingmill, St Breward",SX09507750,"209,500","77,500",500,England,8,5,"1,999","2,004",UKBMS
"1,803",Gwithian Common (Green),SW58704130,"158,700","41,300",937,England,8,19,"1,997","2,015",UKBMS
"1,805",Gwithian Sandpit,SW58404160,"158,400","41,600","1,558",England,9,2,"1,999","2,000",UKBMS
"1,807",Godolphin Manor,SW60303230,"160,300","32,300",881,England,10,3,"1,999","2,001",UKBMS
"1,808",Deer Park Wood,SX37807330,"237,800","73,300","2,378",England,11,29,"1,980","2,008",UKBMS
"1,809",Greenscombe Wood - Ridge,SX39507250,"239,500","72,500","2,000",England,13,15,"2,001","2,015",UKBMS
"1,811",Lundy Bay,SW95807980,"195,800","79,800","2,301",England,10,15,"2,000","2,015",UKBMS
"1,813","Butterfly Lane (Trewartha, St Ives)",SW51803780,"151,800","37,800",500,England,5,15,"2,001","2,015",UKBMS
"1,820",Watch House Field & Penlee Battery,SX43504920,"243,500","49,200","1,531",England,6,6,"2,005","2,010",UKBMS
"1,821",Steeple Woods,SW518388,"151,800","38,800",750,England,6,7,"2,009","2,015",UKBMS
"1,822",De Lank Quarry,SX103753,"210,300","75,300",,England,7,2,"2,009","2,010",UKBMS
"1,823",Cape Cornwall,SW352318,"135,200","31,800","1,505",England,11,2,"2,009","2,012",UKBMS
"1,824",Kenidjack,SW358325,"135,800","32,500","2,835",England,14,2,"2,009","2,012",UKBMS
"1,825",Treen Cliffs,SW396223,"139,600","22,300","1,575",England,6,2,"2,009","2,012",UKBMS
"1,826",Trevean Farm,SW411356,"141,100","35,600","2,231",England,12,1,"2,009","2,009",UKBMS
"1,827",Upton Towans 2010,SW579396,"157,900","39,600","2,900",England,10,6,"2,010","2,015",UKBMS
"1,828",Cubert,SW785599,"178,500","59,900","2,500",England,4,2,"2,010","2,011",UKBMS
"1,829",Dodman,SX000394,"200,000","39,400","3,500",England,9,2,"2,010","2,011",UKBMS
"1,830",Drakewalls Mine,SX424706,"242,400","70,600",550,England,3,5,"2,010","2,015",UKBMS
"1,831",Gaverigan,SW935581,"193,500","58,100","1,500",England,2,2,"2,010","2,011",UKBMS
"1,832","Roskestal West Cliff, Porthgwarra",SW364224,"136,400","22,400","2,725",England,8,4,"2,010","2,015",UKBMS
"1,833",Heligan Gardens,SW997464,"199,700","46,400","1,402",England,11,2,"2,011","2,012",UKBMS
"1,834",Valency Valley,SX108911,"210,800","91,100",,England,4,2,"2,010","2,011",UKBMS
"1,835",Ruan Lanihorne,SW894420,"189,400","42,000","1,050",England,5,4,"2,012","2,015",UKBMS
"1,836",Godolphin Warren,SW599321,"159,900","32,100","2,325",England,6,4,"2,012","2,015",UKBMS
"1,837",St Martins Isles of Scilly,SV921162,"92,100","16,200",,England,5,4,"2,012","2,015",UKBMS
"1,838",Cotehele,SX423682,"242,300","68,200","2,938",England,14,2,"2,012","2,013",UKBMS
"1,839",Looe Island,SX257514,"225,700","51,400",,England,,3,"2,013","2,015",UKBMS
"1,840","Erisey Barton, Lizard NNR",SW710180,"171,000","18,000",,England,,3,"2,013","2,015",UKBMS
"1,841",Treluggan Cliffs,SW890378,"189,000","37,800","2,000",England,11,3,"2,013","2,015",UKBMS
"1,842",Nare Head,SW918375,"191,800","37,500","1,500",England,11,3,"2,013","2,015",UKBMS
"1,843",Little Treleaver,SW761181,"176,100","18,100","1,610",England,7,2,"2,014","2,015",UKBMS
"1,844",Valency Valley,SX103913,"210,300","91,300",450,England,3,2,"2,014","2,015",UKBMS
"1,846",Kilkhampton Common,SS246117,"224,600","111,700","2,240",England,1,2,"2,014","2,015",UKBMS
"1,847",Allet,SW795485,"179,500","48,500","1,000",England,4,2,"2,014","2,015",UKBMS
"1,848",Watch House Field & Penlee Battery (2015 route),SX438490,"243,800","49,000","1,531",England,6,1,"2,015","2,015",UKBMS
"1,849",Treen,SW397223,"139,700","22,300","2,800",England,10,1,"2,015","2,015",UKBMS
"1,850",Lower Lewdon,SS256095,"225,600","109,500","1,058",England,15,1,"2,015","2,015",UKBMS
"1,851",Kilkhampton Common (Fields),SS244118,"224,400","111,800","1,300",England,3,1,"2,015","2,015",UKBMS
"1,852",Pentire,SW938800,"193,800","80,000","3,500",England,12,1,"2,015","2,015",UKBMS
"1,900",Forty Hill,TQ340986,"534,000","198,600",,England,4,5,"1,996","2,000",UKBMS
"1,901",Marshalls Heath,TL16101490,"516,100","214,900","2,478",England,5,17,"1,993","2,015",UKBMS
"1,902",Colney Heath,TL20300510,"520,300","205,100",,England,6,4,"2,006","2,009",UKBMS
"1,903",Gobians Woodland,TL24600360,"524,600","203,600","2,000",England,15,12,"1,990","2,001",UKBMS
"1,904",Aldbury Nowers,SP95201290,"495,200","212,900","1,200",England,14,15,"1,996","2,014",UKBMS
"1,905",Beane Hill,TQ19908730,"519,900","187,300","1,900",England,10,27,"1,988","2,015",UKBMS
"1,906",Danesbury Park,TL230170,"523,000","217,000","3,100",England,9,15,"1,996","2,015",UKBMS
"1,907",Trent Park Country Park,TQ28909720,"528,900","197,200","2,205",England,7,8,"1,998","2,015",UKBMS
"1,908",Millhoppers,SP900149,"490,000","214,900",,England,5,12,"1,998","2,014",UKBMS
"1,909",Markyate,TL07401700,"507,400","217,000","4,000",England,4,5,"1,996","2,000",UKBMS
"1,911",Patmore Heath,TL44302570,"544,300","225,700","1,800",England,6,15,"1,996","2,015",UKBMS
"1,912",Tring Park,SP930105,"493,000","210,500","1,895",England,6,6,"1,996","2,006",UKBMS
"1,914",Bedfont Lakes,TQ08207270,"508,200","172,700","4,050",England,15,5,"1,996","2,010",UKBMS
"1,915",Astonbury Wood,TL27602160,"527,600","221,600","1,600",England,15,1,"1,999","1,999",UKBMS
"1,916",Blackbridge,TL19201470,"519,200","214,700",,England,4,1,"1,997","1,997",UKBMS
"1,918",Holcroft Springs,TL14601640,"514,600","216,400","2,500",England,4,6,"1,996","2,002",UKBMS
"1,920","Therfield Heath, Lancaster Hill (5)",TL35304040,"535,300","240,400",,England,3,10,"2,006","2,015",UKBMS
"1,921",Standalone Farm,TL20903380,"520,900","233,800",,England,5,6,"1,996","2,003",UKBMS
"1,922",Fryent Country Park,TQ19508760,"519,500","187,600","3,550",England,14,28,"1,986","2,015",UKBMS
"1,925","Therfield heath, Rifle Range",TL34804010,"534,800","240,100",,England,3,12,"1,999","2,015",UKBMS
"1,926","Therfield Heath, Top of Rifle Range (2)",TL34903980,"534,900","239,800",,England,5,10,"2,006","2,015",UKBMS
"1,927","Therfield Heath, Church Hill (3)",TL33303960,"533,300","239,600",,England,3,12,"1,999","2,015",UKBMS
"1,928","Therfield Heath, Base of Church Hill (4)",TL33303950,"533,300","239,500",,England,2,10,"2,006","2,015",UKBMS
"1,930",Commons Nature Reserve,TL25801080,"525,800","210,800",,England,13,1,"1,998","1,998",UKBMS
"1,932",Gutteridge Wood,TQ09108430,"509,100","184,300","1,550",England,15,15,"1,996","2,010",UKBMS
"1,934",Knebworth,TL22102080,"522,100","220,800","4,250",England,8,6,"2,003","2,010",UKBMS
"1,935",Stevenage,TL24602340,"524,600","223,400","2,800",England,12,13,"1,996","2,015",UKBMS
"1,936",Nicky Line,TL11601400,"511,600","214,000","4,000",England,8,8,"1,997","2,004",UKBMS
"1,937",The Warren,TL20400530,"520,400","205,300",,England,5,10,"2,006","2,015",UKBMS
"1,938",South Mimms,TL21900040,"521,900","200,400",,England,5,5,"1,995","1,999",UKBMS
"1,939",Tottenham Marsh,TQ35309100,"535,300","191,000",,England,6,3,"1,997","1,999",UKBMS
"1,940",Ware Park,TL34701430,"534,700","214,300","3,200",England,14,15,"1,996","2,015",UKBMS
"1,941",Balls Wood,TL34401060,"534,400","210,600","2,800",England,10,15,"1,996","2,015",UKBMS
"1,942",Brickett Wood,TL13100090,"513,100","200,900","4,100",England,9,15,"1,997","2,015",UKBMS
"1,943",Cranford Park South,TQ10107790,"510,100","177,900","2,900",England,9,17,"1,999","2,015",UKBMS
"1,945",Railway Fields,TQ31708810,"531,700","188,100",780,England,3,15,"1,997","2,015",UKBMS
"1,950",Clifford Road Allotments,TQ260967,"526,000","196,700",,England,9,2,"1,994","1,998",UKBMS
"1,951",Abney Park Cemetry,TQ33608680,"533,600","186,800",,England,10,2,"1,999","2,000",UKBMS
"1,954",Bunkers Park,TL07900580,"507,900","205,800","4,160",England,9,12,"1,999","2,010",UKBMS
"1,955",Minet Country Park,TQ10908020,"510,900","180,200","1,996",England,7,2,"2,002","2,003",UKBMS
"1,956",Minet Site -British Waterways Land,TQ110795,"511,000","179,500","1,396",England,6,2,"2,002","2,003",UKBMS
"1,957",Clay Lane,TQ15309420,"515,300","194,200",,England,12,1,"1,999","1,999",UKBMS
"1,958",Belmont Railway,TQ16308950,"516,300","189,500",,England,12,1,"2,000","2,000",UKBMS
"1,959",Cranebank,TQ10307600,"510,300","176,000",,England,10,1,"1,999","1,999",UKBMS
"1,960",Cranford Park (North),TQ10407850,"510,400","178,500",,England,5,1,"1,997","1,997",UKBMS
"1,961",Elthorne Rough,TQ150790,"515,000","179,000",,England,7,1,"2,000","2,000",UKBMS
"1,962",Elthorne Waterside,TQ15707940,"515,700","179,400","1,700",England,10,4,"2,000","2,003",UKBMS
"1,964",Highgate Cemetery,TQ28408710,"528,400","187,100","1,733",England,8,1,"2,003","2,003",UKBMS
"1,965",Horsenden Hill - East,TQ16208430,"516,200","184,300","1,945",England,11,12,"2,003","2,015",UKBMS
"1,966",Horsendon Hill - West,TQ16308440,"516,300","184,400","1,705",England,8,12,"2,003","2,015",UKBMS
"1,967",Roxbourne Rough,TQ120875,"512,000","187,500",,England,11,2,"1,999","2,003",UKBMS
"1,968",Shrubhill Common,TL03600720,"503,600","207,200","2,170",England,10,11,"2,003","2,015",UKBMS
"1,969",Telegraph Hill,TL11702880,"511,700","228,800",,England,12,1,"2,003","2,003",UKBMS
"1,970",Tower Hamlets Cemetery,TQ36508230,"536,500","182,300",,England,12,13,"1,999","2,015",UKBMS
"1,971",Waterford Heath North,TL31701540,"531,700","215,400",,England,10,11,"2,003","2,015",UKBMS
"1,974",Long Green,TL00500650,"500,500","206,500",,England,8,4,"1,996","1,999",UKBMS
"1,975",Manor Crescent,TL19602850,"519,600","228,500",,England,10,1,"2,003","2,003",UKBMS
"1,976",Northaw Great Wood,TL280040,"528,000","204,000",,England,5,5,"2,003","2,010",UKBMS
"1,977",Miswell lane,SP91201170,"491,200","211,700",,England,10,12,"1,999","2,015",UKBMS
"1,978",Pishiobury Park,TL47701380,"547,700","213,800",,England,11,1,"2,003","2,003",UKBMS
"1,979",Templewood,TL23501430,"523,500","214,300",,England,4,1,"2,003","2,003",UKBMS
"1,980",Long Deans,TL07300480,"507,300","204,800","1,700",England,3,2,"2,003","2,004",UKBMS
"1,981",Gunnersbury,TQ20107360,"520,100","173,600",,England,14,9,"2,006","2,015",UKBMS
"1,982",Lemsford Springs,TL22301210,"522,300","212,100",,England,6,9,"2,007","2,015",UKBMS
