Site Number,Site Name,Gridreference,Easting,Northing,Length,Country,No.sections,No. yrs surveyed,First year surveyed,Last year surveyed,Survey type,PRIVATE
1089,Hamble Common,SU48400610,448400,106100,1995,England,6,16,2001,2016,UKBMS,N
1090,Itchen Valley Country Park 3 Copses,SU460160,446000,116000,,England,8,14,2003,2016,UKBMS,N
1091,Peartree Green,SU43701150,443700,111500,1500,England,8,7,2003,2013,UKBMS,N
1092,Titchfield Haven 2,SU53300240,453300,102400,,England,6,2,2001,2002,UKBMS,N
1093,Broughton Down 2,SU290320,429000,132000,2720,England,13,13,2004,2016,UKBMS,N
1094,Catherington Lith,SU70401380,470400,113800,1980,England,10,14,2000,2016,UKBMS,N
1095,Dell Piece West,SU70101250,470100,112500,500,England,7,13,2002,2016,UKBMS,N
1096,Hazleton Common,SU70201230,470200,112300,,England,10,3,2000,2003,UKBMS,N
1098,"Windmill Hill, Chalton",SU71201760,471200,117600,3280,England,7,12,2003,2016,UKBMS,N
1099,Parsonage Field,SU69501440,469500,114400,100,England,1,12,2003,2016,UKBMS,N
1100,Gait Barrows NNR (Warden's),SD48307740,348300,477400,1900,England,5,22,1982,2003,UKBMS,N
1101,Heald Brow NT,SD46807390,346800,473900,2600,England,10,20,1996,2016,UKBMS,N
1102,Heathwaite NT,SD44807680,344800,476800,3500,England,7,24,1993,2016,UKBMS,N
1103,Helsington Barrows NT,SD48909040,348900,490400,2600,England,15,20,1996,2016,UKBMS,N
1104,Hutton Roof (CWT),SD54507740,354500,477400,2300,England,16,8,1995,2003,UKBMS,N
1105,Hutton Roof (Dalton Crag FC),SD56507770,356500,477700,2400,England,7,11,1996,2008,UKBMS,N
1106,Hutton Roof Common,SD560780,356000,478000,4600,England,8,15,2000,2016,UKBMS,N
1107,Jack Scout NT,SD45907360,345900,473600,1150,England,11,23,1994,2016,UKBMS,N
1108,Latterbarrow CWT,SD43908280,343900,482800,1100,England,6,19,1996,2016,UKBMS,N
1110,Trowbarrow Quarry LNR,SD480758,348000,475800,2031,England,14,14,1996,2009,UKBMS,N
1111,Warton Crag LNR,SD49407270,349400,472700,3181,England,15,26,1989,2016,UKBMS,N
1112,Warton Crag LWT,SD49307340,349300,473400,5400,England,15,18,1992,2010,UKBMS,N
1113,Warton Crag RSPB,SD48807310,348800,473100,2800,England,7,27,1990,2016,UKBMS,N
1114,Whitbarrow - Howe Ridding pNNR,SD43508750,343500,487500,1410,England,15,21,1996,2016,UKBMS,N
1115,Whitbarrow - Township Plantation,SD450887,345000,488700,2870,England,15,23,1994,2016,UKBMS,N
1116,Witherslack Woods LNR,SD43508650,343500,486500,3800,England,15,23,1985,2010,UKBMS,N
