Administrative port,Home port,Port letters and numbers,Vessel name,Registry of Shipping and Seamen number,Licence number,Fish producer organisation,Overall length,Registered tonnage,Engine power,Vessel capacity units,Year built,Hull,Country of construction,Licence Category,Shellfish  licence (Y/N),Scallop licence (Y/N)
STORNOWAY,STORNOWAY,UL52,QUEST,A13675,40336,NON-SECTOR,11.15,14.94,73,81.91,1985,W,GBR,OVER 10 METRE,Y,N
STORNOWAY,UNKNOWN,BF177,HARVEST REAPER II,A11822,40785,SCOTTISH FISHERMENS ORGANISATION,17.07,97,282,215.493,1980,W,GBR,OVER 10 METRE,N,N
STORNOWAY,UNKNOWN,CY132,FEAR NOT,B11000,40421,ORKNEY FPO LTD,10.4,14.65,89,85.29,1989,W,GBR,CATEGORY A,Y,N
STORNOWAY,UNKNOWN,CY155,GRIANAN OIR,C17250,42323,SCOTTISH FISHERMENS ORGANISATION,16.7,106,375,276.465,2001,S,GBR,OVER 10 METRE,N,N
STORNOWAY,UNKNOWN,CY191,GUIDING STAR,C20630,41808,NON-SECTOR,14.05,51.01,272,213.725,2015,S,,OVER 10 METRE,N,Y
STORNOWAY,UNKNOWN,CY338,OUR PRIDE,A22659,11043,SCOTTISH FISHERMENS ORGANISATION,18.25,104,305,260.255,,W,GBR,OVER 10 METRE,N,N
STORNOWAY,UNKNOWN,CY389,MOYUNA,C17536,50298,NORTHERN IRELAND FPO LTD,15.34,43,170,158.262,1973,W,GBR,OVER 10 METRE,N,Y
STORNOWAY,UNKNOWN,CY861,VESPER,C20840,41998,NON-SECTOR,11.57,8.61,331,194.073,2015,F,IRL,OVER 10 METRE,Y,N
STORNOWAY,UNKNOWN,SY144,LEAD US,C20776,41942,NON-SECTOR,10.71,9.34,300,176.769,2015,F,IRL,OVER 10 METRE,Y,N
STORNOWAY,UNKNOWN,SY144,LEAD US,C20776,41942,NON-SECTOR,10.71,9.34,300,176.769,2015,F,IRL,SANDEELS,Y,N
STORNOWAY,UNKNOWN,SY221,GRATITUDE K,B10111,11941,SCOTTISH FISHERMENS ORGANISATION,11.99,32.8,221,161.798,1989,S,GBR,CATEGORY A,N,Y
STORNOWAY,UNKNOWN,SY275,VIKINGBORG,A17777,41704,ORKNEY FPO LTD,16.62,44,176,168.283,1975,W,GBR,OVER 10 METRE,N,Y
STORNOWAY,UNKNOWN,SY301,MARANATHA O,A11106,42229,SCOTTISH FISHERMENS ORGANISATION,11.5,12.37,145,114.7,1988,F,GBR,CATEGORY B ,Y,Y
STORNOWAY,UNKNOWN,SY549,VALHALLA,C21187,42389,ORKNEY FPO LTD,11.87,11.16,141,110.099,2017,F,GBR,OVER 10 METRE,Y,N
STORNOWAY,UNKNOWN,SY788,DELTA DAWN,C20753,41957,ORKNEY FPO LTD,11.83,14.61,148.3,128.251,2015,F,GBR,EXTERNAL WATERS: IOTC,Y,N
STORNOWAY,UNKNOWN,SY788,DELTA DAWN,C20753,41957,ORKNEY FPO LTD,11.83,14.61,148.3,128.251,2015,F,GBR,OVER 10 METRE,Y,N
STORNOWAY,UNKNOWN,UL193,BOUNTIFULL,B14647,50059,NON-SECTOR,11.7,23.63,159,125.37,1996,F,GBR,OVER 10 METRE,Y,N
ULLAPOOL,GAIRLOCH,SY132,SEALGAIR MARA,A13462,40313,WEST OF SCOTLAND FPO LTD,11.89,8.77,195,131.981,1984,F,GBR,OVER 10 METRE,N,N
ULLAPOOL,GAIRLOCH,WK80,SILVER CLOUD II,A13845,40350,WEST OF SCOTLAND FPO LTD,16.55,42,186.5,174.784,1972,W,GBR,OVER 10 METRE,N,N
ULLAPOOL,GRUINARD-AULTBEA,UL181,MICHELLE WISEMAN,A13748,40345,NON-SECTOR,11.48,8.6,178,122.117,1979,F,,OVER 10 METRE,Y,N
ULLAPOOL,ULLAPOOL,CY250,STELLA MARIS,A12586,44451,SCOTTISH FISHERMENS ORGANISATION,17.8,81,246,210.024,1980,W,GBR,OVER 10 METRE,N,N
ULLAPOOL,ULLAPOOL,CY97,BARNACLE III,A11278,44198,WEST OF SCOTLAND FPO LTD,11.35,12.69,94.00,89.062,1985,F,GBR,OVER 10 METRE,Y,N
ULLAPOOL,ULLAPOOL,INS151,CORDELIA K,C20293,41589,NORTH SEA FISHERMENS ORGANISATION LTD,40.27,336,735,652.91,,S,NLD,OVER 10 METRE,N,Y
ULLAPOOL,ULLAPOOL,INS172,NEREUS,C20259,41578,SCOTTISH FISHERMENS ORGANISATION,19,183,448,338.78,2012,S,PRT,OVER 10 METRE,N,N
ULLAPOOL,ULLAPOOL,INS240,RADIANCE,A11805,44330,NORTH EAST OF SCOTLAND FISHERMENS ORGANISATION,19.68,89,295,260.473,1980,S,NOR,OVER 10 METRE,N,N
ULLAPOOL,ULLAPOOL,INS64,BOY DAVID,B10511,44786,NON-SECTOR,10.7,6.87,89,77.072,1989,F,GBR,OVER 10 METRE,Y,N
ULLAPOOL,ULLAPOOL,K7,BELINDA II,A11843,44343,NORTHERN IRELAND FPO LTD,11.6,13.92,94,90.092,1981,F,GBR,OVER 10 METRE,N,N
ULLAPOOL,ULLAPOOL,UL1,ONWARD,B10067,40995,SCOTTISH FISHERMENS ORGANISATION,11.62,16.74,149.2,119.198,1988,F,GBR,OVER 10 METRE,Y,Y
ULLAPOOL,ULLAPOOL,UL137,HARMONY,A13728,40907,NON-SECTOR,10.47,11.97,89,80.569,1974,W,GBR,OVER 10 METRE,Y,N
ULLAPOOL,ULLAPOOL,UL222,ZENITH,A13765,44606,SCOTTISH FISHERMENS ORGANISATION,16.8,41,128,148.32,1964,W,GBR,OVER 10 METRE,N,N
ULLAPOOL,ULLAPOOL,UL25,WALRUS,B11230,11711,NON-SECTOR,10.86,10.88,112,96.012,1989,S,GBR,OVER 10 METRE,Y,N
ULLAPOOL,ULLAPOOL,UL250,PROSPERITY,A11502,44235,SCOTTISH FISHERMENS ORGANISATION,17.31,100,335,258.938,1988,W,GBR,OVER 10 METRE,N,N
ULLAPOOL,ULLAPOOL,UL27,CHALLENGER,A13805,40875,SCOTTISH FISHERMENS ORGANISATION,12.5,18.25,134,116.3,1985,C,GBR,OVER 10 METRE,Y,N
ULLAPOOL,ULLAPOOL,UL3,HEADWAY,A10890,40102,SCOTTISH FISHERMENS ORGANISATION,18.22,107,350,273.744,1981,W,GBS,OVER 10 METRE,N,N
ULLAPOOL,ULLAPOOL,UL45,SUSTAIN,A10557,40274,SCOTTISH FISHERMENS ORGANISATION,16.76,65.82,238,200.118,1971,W,GBR,OVER 10 METRE,N,N
ULLAPOOL,ULLAPOOL,UL543,OUR HAZEL,C16616,11569,NON-SECTOR,19.97,157,386,313.69,1994,S,ESP,OVER 10 METRE,Y,N
ULLAPOOL,ULLAPOOL,UL554,AUK,C17300,11443,NON-SECTOR,11.02,8.03,131,98.842,1980,F,GBR,OVER 10 METRE,N,N
ULLAPOOL,ULLAPOOL,UL573,MAIRI ANNA,C19154,41645,WEST OF SCOTLAND FPO LTD,11.83,13.89,273.14,184.429,2007,F,,OVER 10 METRE,Y,N
ULLAPOOL,ULLAPOOL,UL584,LADY NICOLA,C19830,40454,NON-SECTOR,11.39,15.33,164,121.41,1989,F,GBR,OVER 10 METRE,N,N
ULLAPOOL,ULLAPOOL,UL595,COURAGE,C20423,41687,NON-SECTOR,12.9,18.86,147,120.33,1980,S,SWE,OVER 10 METRE,N,N
ULLAPOOL,UNKNOWN,KY7,TRUE VINE,A12076,10098,WEST OF SCOTLAND FPO LTD,15.24,35,171,156.808,1974,W,GBR,OVER 10 METRE,N,N
ULLAPOOL,UNKNOWN,UL209,FLADDA MAID,B10654,41939,SCOTTISH FISHERMENS ORGANISATION,20.94,158,399,321.104,1989,W,GBR,OVER 10 METRE,N,N
ABERDEEN,ABERDEEN,A913,DALWHINNIE,C19944,41414,NON-SECTOR,12.48,9.28,449,248.725,2011,F,ISL,OVER 10 METRE,Y,N
ABERDEEN,ABERDEEN,AH4,BONNIE LASS II,C20280,11955,NON-SECTOR,10.4,9.41,140,103.872,2012,F,GBR,OVER 10 METRE,Y,N
ABERDEEN,ABERDEEN,WK46,LILY V,A10911,44163,NON-SECTOR,10.3,10.36,82,82.632,1983,W,GBR,OVER 10 METRE,Y,N
ABERDEEN,GOURDON,ME216,STROMA ISLE,A13925,40871,NON-SECTOR,12.2,15.67,156,124.856,1974,W,GBR,OVER 10 METRE,N,Y
ABERDEEN,GOURDON,ME47,SHARONA,A11541,44251,NORTHERN PRODUCERS ORGANISATION LTD,14.96,35.57,184,164.332,1976,W,GBR,OVER 10 METRE,N,N
ABERDEEN,GOURDON,ME87,EMMA KATHLEEN,A12774,44469,NORTHERN PRODUCERS ORGANISATION LTD,14.33,42.92,231,180.615,1988,W,GBR,OVER 10 METRE,N,Y
ABERDEEN,STONEHAVEN,A865,HARVESTER,A12901,40272,NON-SECTOR,11.83,19.64,85,89.829,1973,W,GBR,OVER 10 METRE,N,N
ABERDEEN,UNKNOWN,AH17,AURORA,C20822,40346,ORKNEY FPO LTD,11.95,23.85,104,111.33,2016,F,GBR,CATEGORY B ,Y,N
AYR,ANNAN,A52,MARIGOLD,A10172,40008,NON-SECTOR,15.78,34,179.00,163.711,1968,W,GBR,OVER 10 METRE,N,Y
AYR,ANNAN,BA156,QUEENSBERRY,A10337,44051,NON-SECTOR,15.9,35,201,175.674,1971,W,GBR,OVER 10 METRE,N,Y
AYR,ANNAN,KY28,UBIQUE,A12092,10101,ANGLO-SCOTTISH FPO LTD,16.67,41,221,186.801,1974,W,GBR,OVER 10 METRE,N,Y
AYR,AYR,AH71,PROVIDER,A10184,10540,SCOTTISH FISHERMENS ORGANISATION,16.83,60,155,163.661,1972,W,GBR,OVER 10 METRE,N,N
AYR,AYR,AR871,PROGRESS,A10687,10083,SCOTTISH FISHERMENS ORGANISATION,17.07,75,235,199.976,1979,W,UNK,OVER 10 METRE,N,N
AYR,AYR,BA4,OSPREY,C20130,12204,SOUTH WESTERN FPO LTD,23.99,164,221,260.663,1991,S,NLD,OVER 10 METRE,N,Y
AYR,AYR,BA7,GALILEE,A15397,11535,NON-SECTOR,11.5,16.66,94,89.105,1980,F,GBR,OVER 10 METRE,Y,N
AYR,AYR,BA847,ARCTIC MOON,A10991,40636,SCOTTISH FISHERMENS ORGANISATION,12.41,18.59,72.7,86.078,1974,W,UNK,OVER 10 METRE,Y,N
AYR,AYR,BA850,BRIGHT HORIZON,C19402,11964,NON-SECTOR,12.14,13.99,435.6,254.899,2008,F,GBR,OVER 10 METRE,Y,N
AYR,AYR,BA858,ARGONAUT,C20352,41614,NON-SECTOR,23.96,150,221,262.378,1992,S,NLD,OVER 10 METRE,N,Y
AYR,AYR,BA88,ALBATROSS,B11224,11772,THE FIFE FPO LTD,32.5,217,746,579.45,1973,S,NLD,OVER 10 METRE,N,Y
AYR,AYR,DS1,ISLA S,C20104,41437,SOUTH WESTERN FPO LTD,40.11,396,1095,833.685,1990,S,NLD,OVER 10 METRE,N,Y
AYR,AYR,DS18,CORNELIS GERT JAN,B13544,41405,SOUTH WESTERN FPO LTD,35.77,328,745,621.41,1985,S,BEL,OVER 10 METRE,Y,Y
AYR,AYR,DS4,CHARITY & LIBERTY,C18510,11960,SOUTH WESTERN FPO LTD,14.95,40.1,221,188.402,2005,S,GBR,OVER 10 METRE,N,Y
AYR,AYR,DS7,TJEERD JACOBA,A15179,10322,SOUTH WESTERN FPO LTD,26.29,149,221,272.964,1968,S,NLD,OVER 10 METRE,Y,Y
AYR,AYR,DS8,SYLVIA BOWERS,C17098,40927,SOUTH WESTERN FPO LTD,36.75,413,739,641.25,1988,S,BEL,OVER 10 METRE,N,Y
AYR,AYR,GK7,BEN LOYAL,A13786,41755,NON-SECTOR,21.22,66,171,208.302,1960,W,UNK,EXTERNAL WATERS: IOTC,Y,N
AYR,AYR,GK7,BEN LOYAL,A13786,41755,NON-SECTOR,21.22,66,171,208.302,1960,W,UNK,OVER 10 METRE,Y,N
AYR,AYR,LH19,SILVER CREST II,A12239,44383,SCOTTISH FISHERMENS ORGANISATION,15.71,40.3,131,141.742,1969,W,GBR,OVER 10 METRE,N,N
AYR,AYR,OB15,KAYLEIGH M,A12187,44368,NORTHERN PRODUCERS ORGANISATION LTD,13.08,28.53,216,169.009,1981,S,GBR,OVER 10 METRE,N,N
AYR,AYR,PD905,HONEYBOURNE III,B12744,42234,SOUTH WESTERN FPO LTD,29.16,215,749,555.75,1982,S,NLD,OVER 10 METRE,N,Y
AYR,AYR,TN16,NATHALIE,A13440,50283,NORTHERN PRODUCERS ORGANISATION LTD,18.35,65,294,240.198,1971,W,GBR,OVER 10 METRE,N,N
AYR,AYR,TN20,SEA LADY,B12151,11816,THE FIFE FPO LTD,32.8,239,747,575.59,1985,S,NLD,OVER 10 METRE,N,Y
AYR,AYR,TN30,NOORDZEE,C20283,41598,THE FIFE FPO LTD,34.1,249,742,589.65,1980,S,NLD,OVER 10 METRE,N,Y
AYR,AYR,TN35,OLIVIA JEAN,B12608,11855,THE FIFE FPO LTD,33.86,242,749,591,1980,S,NLD,OVER 10 METRE,N,Y
AYR,AYR,TN38,GEORGELOU - N,A21593,41590,THE FIFE FPO LTD,25.5,160,615,464.685,1978,S,GBR,OVER 10 METRE,N,Y
AYR,BALLANTRAE,BA810,KINGFISHER,C16272,40836,SOUTH WESTERN FPO LTD,22.94,163,499,385.13,1998,S,GBR,OVER 10 METRE,N,Y
AYR,BALLANTRAE,DS10,ALBION,B13827,40910,SOUTH WESTERN FPO LTD,34.9,375,855,677.91,1986,S,BEL,OVER 10 METRE,N,Y
AYR,DUNURE,BA107,SPES BONA V,C18242,40647,SCOTTISH FISHERMENS ORGANISATION,14.95,51.56,195,175.955,2004,S,GBR,OVER 10 METRE,N,Y
AYR,KIRKCUDBRIGHT,BA224,AZTEC,A10387,44054,NON-SECTOR,16.15,59,216,188.932,1986,S,GBR,OVER 10 METRE,N,Y
AYR,KIRKCUDBRIGHT,BA70,AZULA,B11590,44728,NON-SECTOR,17.13,66,350,258.224,1990,S,UNK,OVER 10 METRE,N,Y
AYR,KIRKCUDBRIGHT,BA804,ARGOSY,B14552,40746,NON-SECTOR,18.25,96,335.7,271.515,1995,S,GBR,OVER 10 METRE,N,Y
AYR,KIRKCUDBRIGHT,BA817,ACADEMUS,C16487,40861,NON-SECTOR,16.11,66,221,190.472,1998,S,GBR,OVER 10 METRE,N,Y
AYR,KIRKCUDBRIGHT,BA829,KING EXPLORER,C17308,11510,SOUTH WESTERN FPO LTD,23.66,202,459,376.902,2001,S,GBR,OVER 10 METRE,N,Y
AYR,KIRKCUDBRIGHT,BA87,KING CHALLENGER,C18580,41097,SOUTH WESTERN FPO LTD,21.3,192,537,408.003,2005,S,GBR,OVER 10 METRE,N,Y
AYR,KIRKCUDBRIGHT,DS11,VERTROUWEN,B10005,44242,SOUTH WESTERN FPO LTD,26.24,144.5,550,415.436,1968,S,NLD,OVER 10 METRE,N,Y
AYR,KIRKCUDBRIGHT,DS2,SECOND DEGREE,B10282,44695,NON-SECTOR,12,23.98,239,198.99,1989,S,GBR,OVER 10 METRE,N,N
AYR,KIRKCUDBRIGHT,FR357,SUSAN BIRD,A16749,40941,NON-SECTOR,24.8,88,410,331.812,1964,S,NLD,OVER 10 METRE,N,Y
AYR,KIRKCUDBRIGHT,TN37,PHILOMENA,B11107,40521,THE FIFE FPO LTD,30.57,176,543,458.34,1970,S,,OVER 10 METRE,N,Y
AYR,MARYPORT,BA316,ISLANDER,A11838,11677,NORTHERN IRELAND FPO LTD,16.66,35,134,148.098,1967,W,UNK,OVER 10 METRE,N,Y
AYR,TROON AND SALTCOATS,AR190,SILVER QUEST,A10726,42384,SCOTTISH FISHERMENS ORGANISATION,16.92,56,235,197.964,1971,W,GBR,CATEGORY A,N,N
AYR,TROON AND SALTCOATS,BA120,DAWN WATCH II,A10315,44045,SCOTTISH FISHERMENS ORGANISATION,15.69,41,175,160.495,1962,W,GBR,OVER 10 METRE,N,N
AYR,TROON AND SALTCOATS,BA19,FAIR MORN,A11185,40122,SCOTTISH FISHERMENS ORGANISATION,17.1,24.24,179,173.232,1973,W,GBR,OVER 10 METRE,N,N
AYR,TROON AND SALTCOATS,BA280,FREEDOM III,A10423,44058,SCOTTISH FISHERMENS ORGANISATION,19.72,62,272.00,238.354,1967,W,GBR,OVER 10 METRE,N,N
AYR,TROON AND SALTCOATS,BA55,OCEAN MAID,A10265,44038,SCOTTISH FISHERMENS ORGANISATION,19.62,60,223,222.975,1973,W,GBR,OVER 10 METRE,N,N
AYR,UNKNOWN,AD14,CLANSMAN,A12280,41517,NON-SECTOR,12.47,21.03,130,112.744,1972,W,GBR,CATEGORY B ,N,N
AYR,UNKNOWN,AR147,AURIGA,C17083,50190,SCOTTISH FISHERMENS ORGANISATION,13.7,39.63,177,151.438,2000,S,GBR,OVER 10 METRE,N,N
AYR,UNKNOWN,BA104,BONAMI,B10978,44708,SCOTTISH FISHERMENS ORGANISATION,13.84,12.49,179,150.165,1989,S,GBR,OVER 10 METRE,N,N
AYR,UNKNOWN,BA359,ELLEN ANN,C17911,41924,SCOTTISH FISHERMENS ORGANISATION,14.95,47,221,184.814,2003,S,GBR,OVER 10 METRE,N,Y
AYR,UNKNOWN,BA692,HOPEFUL I,A23347,12717,NON-SECTOR,11.18,14.99,117.67,102.144,1988,S,GBR,OVER 10 METRE,N,N
AYR,UNKNOWN,BA862,ARCTURUS,C20817,42121,NON-SECTOR,23.99,164,221,264.981,1993,S,NLD,OVER 10 METRE,N,Y
AYR,UNKNOWN,BA9,EMULOUS,C20541,41703,NORTHERN IRELAND FPO LTD,10.64,12.28,95,88.502,1989,W,GBR,OVER 10 METRE,N,N
AYR,UNKNOWN,K44,GIRL KILDA,A15054,40524,NON-SECTOR,11.28,8.44,95,88.772,1983,S,GBR,OVER 10 METRE,N,N
AYR,UNKNOWN,KY227,GUIDE ME 1,A12197,44369,SCOTTISH FISHERMENS ORGANISATION,10.98,14.2,104,94.673,1971,W,,OVER 10 METRE,N,N
AYR,UNKNOWN,TN1,PTARMIGAN,C20989,42230,NON-SECTOR,14.73,58.97,221,195.195,,S,GBS,OVER 10 METRE,N,Y
AYR,UNKNOWN,TN4,OUR BROOKE,A13561,44581,NORTHERN IRELAND FPO LTD,16.52,41,134,152.482,1967,W,UNK,OVER 10 METRE,N,N
AYR,UNKNOWN,TN5,SOLWAY PROVIDER,B14406,42437,NON-SECTOR,13.34,16.85,105.95,113.977,1995,S,GBR,CATEGORY B ,Y,Y
BELFAST,ARDGLASS,B109,DAVID LIAM,C21012,50463,NORTHERN IRELAND FPO LTD,14.95,64.58,202,180.6,2004,S,ESP,CATEGORY A,N,N
BELFAST,ARDGLASS,B123,TRIBUTE,A10763,50024,NORTHERN IRELAND FPO LTD,16.66,47,198,177.565,1965,W,GBR,CATEGORY A,N,N
BELFAST,ARDGLASS,B145,PILOT US,A17693,50111,NORTHERN IRELAND FPO LTD,17.77,52,171.58,175.835,1969,W,GBR,CATEGORY A,N,N
BELFAST,ARDGLASS,B192,GOLDEN BELLS 11,A12186,10106,NORTHERN IRELAND FPO LTD,16.92,56,309,227.711,1981,W,GBR,CATEGORY A,N,N
BELFAST,ARDGLASS,B260,ALISA,A13198,44097,NORTHERN IRELAND FPO LTD,16.61,41,208.88,181.531,1969,W,GBR,CATEGORY A,N,N
BELFAST,ARDGLASS,B268,THE WAY,A16729,11925,NORTHERN IRELAND FPO LTD,16.5,36,184.2,169.68,1965,W,GBR,CATEGORY A,N,Y
BELFAST,ARDGLASS,B767,VAL G,A24111,50248,NORTHERN IRELAND FPO LTD,17.01,63,271.54,201.119,1967,S,UNK,CATEGORY A,N,N
BELFAST,ARDGLASS,B91,OLIVE BRANCH,A12963,50392,NORTHERN IRELAND FPO LTD,18.59,71,149,179.334,1971,W,GBR,CATEGORY A,N,Y
BELFAST,ARDGLASS,B92,SEA MOURNE,C18560,50025,NORTHERN IRELAND FPO LTD,13.7,39.63,174.86,150.475,2005,S,GBR,CATEGORY A,N,N
BELFAST,ARDGLASS,B926,NIMROD,A12126,44354,NORTHERN IRELAND FPO LTD,16.28,64,201,179.176,1976,W,OTH,CATEGORY A,N,Y
BELFAST,ARDGLASS,B99,KATIE GRACE,B10648,44700,NORTHERN IRELAND FPO LTD,13.82,30.42,221,165.786,1988,W,EIR,CATEGORY A,N,Y
BELFAST,ARDGLASS,N120,ORLA S,A17811,11861,NORTHERN IRELAND FPO LTD,17.48,70,221,215.168,1978,S,GBR,CATEGORY A,N,Y
BELFAST,ARDGLASS,N17,SHARON ANN,B13401,11512,NORTHERN IRELAND FPO LTD,12.9,26.53,192,149.868,1992,W,GBR,CATEGORY A,N,N
BELFAST,ARDGLASS,N179,BOY ANDREW,A12183,40213,NORTHERN IRELAND FPO LTD,16.27,63,243,198.672,1973,W,GBR,CATEGORY A,N,N
BELFAST,ARDGLASS,N193,SPES MARIS,A12355,40229,NORTHERN IRELAND FPO LTD,13.87,32.85,177,149.416,1973,W,GBR,CATEGORY A,N,N
BELFAST,ARDGLASS,N22,COURIER,A10563,50491,NORTHERN IRELAND FPO LTD,19.11,101,373,292.447,1974,W,GBR,CATEGORY A,N,N
BELFAST,ARDGLASS,N252,MORNING DAWN,A11182,40121,NORTHERN IRELAND FPO LTD,16.95,46,238,200.156,1970,W,GBS,CATEGORY A,N,N
BELFAST,ARDGLASS,N313,REBENA BELLE,A19801,50168,NORTHERN IRELAND FPO LTD,14.02,27.94,82,105.318,1963,W,GBR,CATEGORY A,N,N
BELFAST,ARDGLASS,N325,BONAVENTURE,A13907,44342,NORTHERN IRELAND FPO LTD,19.88,62,328,270.657,1969,W,GBR,CATEGORY A,N,N
BELFAST,ARDGLASS,N822,SEA HARVESTER,A10227,40014,NORTHERN IRELAND FPO LTD,19.97,73,221,223.264,1968,W,GBR,CATEGORY A,N,Y
BELFAST,ARDGLASS,N924,OCEANUS,C16955,44152,NORTHERN IRELAND FPO LTD,18.51,106,368,278.881,1983,W,,CATEGORY A,N,N
BELFAST,BALLYCASTLE,CE135,CRYSTAL TIDE,A10207,40012,NORTHERN IRELAND FPO LTD,18.47,74.56,219,210.663,1971,W,GBR,CATEGORY A,N,Y
BELFAST,BELFAST,N200,HAVILAH,C20553,50376,NORTHERN IRELAND FPO LTD,51.9,742,2025,1430.25,1999,S,NOR,CATEGORY A,N,N
BELFAST,BELFAST,N200,HAVILAH,C20553,50376,NORTHERN IRELAND FPO LTD,51.9,742,2025,1430.25,1999,S,NOR,CATEGORY A (PELAGIC),N,N
BELFAST,BELFAST,N200,HAVILAH,C20553,50376,NORTHERN IRELAND FPO LTD,51.9,742,2025,1430.25,1999,S,NOR,CLYDE HERRING,N,N
BELFAST,BELFAST,N718,STEFANIE M,C20726,50388,ANGLO-NORTH IRISH FPO LTD,51,834,2999,1920.75,2005,S,DNK,CATEGORY A,N,Y
BELFAST,BELFAST,N718,STEFANIE M,C20726,50388,ANGLO-NORTH IRISH FPO LTD,51,834,2999,1920.75,2005,S,DNK,CATEGORY A (PELAGIC),N,Y
BELFAST,BELFAST,N718,STEFANIE M,C20726,50388,ANGLO-NORTH IRISH FPO LTD,51,834,2999,1920.75,2005,S,DNK,CLYDE HERRING,N,Y
BELFAST,BURTONPORT,B617,RESTLESS WAVE,C19149,44022,ANGLO-NORTH IRISH FPO LTD,10.65,8.39,81,80.541,1978,O,IRL,CATEGORY A,Y,N
BELFAST,BURTONPORT,CE192,ROSALEEN,C20768,50399,NON-SECTOR,10.37,6.97,74.6,73.391,2015,F,GBR,CATEGORY A,Y,N
BELFAST,BURTONPORT,CE553,SHAUNETTE,B12145,40442,NON-SECTOR,13.4,29.1,145,133.59,1991,F,GBR,CATEGORY C,Y,N
BELFAST,CASTLETOWN BERE,N191,GLENRAVEL,C19052,44320,ANGLO-NORTH IRISH FPO LTD,26.25,153,447,374.4,1968,S,NLD,CATEGORY A,N,N
BELFAST,DUNDALK,B210,HANDA ISLE,A13758,44603,NON-SECTOR,12,18.29,135,122.55,1988,F,GBR,CATEGORY B ,Y,N
BELFAST,DUNDALK,N974,MARY MARIA,C18455,50260,NORTHERN PRODUCERS ORGANISATION LTD,12.59,15.55,240,166.669,2004,S,GBR,CATEGORY A,N,N
BELFAST,GREENCASTLE,B98,STILL OSTREA,B14005,11527,NON-SECTOR,28.5,92,447,429.72,1987,S,NLD,MOLLUSCAN SHELLFISH,N,N
BELFAST,GREENCASTLE,CE2,FAOILEAN NA MARA,C20839,50451,NON-SECTOR,11.24,16.74,118,100.533,1981,F,GBR,CATEGORY C,Y,N
BELFAST,GREENCASTLE,CE208,GREEN BRAE,A11796,44324,WEST OF SCOTLAND FPO LTD,17.07,55,212,192.187,1973,W,GBR,CATEGORY A,N,Y
BELFAST,GREENCASTLE,CE549,FRAM III,B11324,11398,NON-SECTOR,11.7,11.27,239,150.84,1990,F,GBR,CATEGORY A,Y,N
BELFAST,GREENCASTLE,CE888,MY GIRLS J.L.L,C18013,50424,NON-SECTOR,11.2,6.62,331,190.838,,F,GBR,CATEGORY B ,Y,N
BELFAST,GREENCASTLE,CE888,MY GIRLS J.L.L,C18013,50424,NON-SECTOR,11.2,6.62,331,190.838,,F,GBR,EXTERNAL WATERS: IOTC,Y,N
BELFAST,HOWTH,N29,SANCTA MARIA,C20118,50325,NORTHERN IRELAND FPO LTD,20.37,106,316,264.42,1979,S,FRA,CATEGORY A,N,N
BELFAST,HOWTH,N291,MARACESTINA,B15005,40810,NORTHERN IRELAND FPO LTD,23.94,240,710,499.05,1997,S,ESP,CATEGORY A,N,N
BELFAST,HOWTH,N291,MARACESTINA,B15005,40810,NORTHERN IRELAND FPO LTD,23.94,240,710,499.05,1997,S,ESP,DEEP SEA SPECIES,N,N
BELFAST,KILKEEL,B245,DAISY II,C16221,44374,NORTHERN IRELAND FPO LTD,21.2,95,327,280.71,1988,S,FRA,CATEGORY A,N,N
BELFAST,KILKEEL,B26,WHITE HEATHER IV,A12986,40476,NORTHERN IRELAND FPO LTD,14.94,36.08,128,138.724,1968,W,GBR,CATEGORY A,N,N
BELFAST,KILKEEL,B279,ROSEMARY ANN,A10422,50008,ANGLO-NORTH IRISH FPO LTD,13.72,26.15,131,123.708,1965,W,GBR,CATEGORY A,Y,Y
BELFAST,KILKEEL,B29,PATHWAY,A12302,50509,NORTHERN IRELAND FPO LTD,19.81,103,235,232.534,1975,W,GBR,CATEGORY A,N,N
BELFAST,KILKEEL,B350,BENAIAH IV,C16038,50262,ANGLO-NORTH IRISH FPO LTD,20.34,104,451,341.059,1987,S,FRA,CATEGORY A,N,N
BELFAST,KILKEEL,B407,ANTARES,A19778,50268,ANGLO-NORTH IRISH FPO LTD,22.8,151,468.98,367.449,1976,W,GBR,CATEGORY A,N,N
BELFAST,KILKEEL,B470,ZENITH,A10621,10048,ANGLO-NORTH IRISH FPO LTD,21.42,116,351,306.605,1972,W,GBR,CATEGORY A,N,N
BELFAST,KILKEEL,B74,VANQUISH,C19987,50326,NON-SECTOR,24.8,246,437,412.41,2003,S,GBR,CATEGORY C,N,N
BELFAST,KILKEEL,B78,IMMANUEL VIII,C16245,40848,ANGLO-NORTH IRISH FPO LTD,13.77,25.36,221,172.569,1997,S,GBR,CATEGORY B ,Y,Y
BELFAST,KILKEEL,B788,STRATHMORE,A12275,50269,ANGLO-NORTH IRISH FPO LTD,23.09,202,533,403.789,1984,W,GBR,CATEGORY A,N,N
BELFAST,KILKEEL,B918,FAIR WIND,C17105,50279,ANGLO-NORTH IRISH FPO LTD,11.53,15.29,162,122.479,,S,,CATEGORY A,Y,Y
BELFAST,KILKEEL,CE307,SIOBHAN III,B14963,50270,ANGLO-NORTH IRISH FPO LTD,11.95,22.95,179.04,134.343,1997,F,EIR,CATEGORY A,Y,Y
