Administrative port,Home port,Port letters and numbers,Vessel name,Registry of Shipping and Seamen number,Licence number,Fish producer organisation,Overall length,Registered tonnage,Engine power,Vessel capacity units,Year built,Hull,Country of construction,Licence Category,Shellfish  licence (Y/N),Scallop licence (Y/N)
PLYMOUTH,LOOE,R159,MARET,A22069,10976,CORNISH FPO LTD,12.16,15.05,112,102.323,1963,W,DEU,CATEGORY A,N,N
PLYMOUTH,MARIN,FH535,GONPEZ I,C17812,12889,WALES AND WEST COAST FPO LTD,32.2,271,721,572.39,2003,S,ESP,CATEGORY A,N,N
PLYMOUTH,MARIN,FH535,GONPEZ I,C17812,12889,WALES AND WEST COAST FPO LTD,32.2,271,721,572.39,2003,S,ESP,DEEP SEA SPECIES,N,N
PLYMOUTH,MARIN,FH707,SUSA UNO,C17795,11797,WALES AND WEST COAST FPO LTD,32.1,287,720,580.8,2003,S,ESP,CATEGORY A,N,N
PLYMOUTH,MARIN,FH707,SUSA UNO,C17795,11797,WALES AND WEST COAST FPO LTD,32.1,287,720,580.8,2003,S,ESP,DEEP SEA SPECIES,N,N
PLYMOUTH,MARIN,FH707,SUSA UNO,C17795,11797,WALES AND WEST COAST FPO LTD,32.1,287,720,580.8,2003,S,ESP,EXTERNAL WATERS:  NEAFC,N,N
PLYMOUTH,MARIN,FH713,SPICA,C17870,11732,WALES AND WEST COAST FPO LTD,34.6,320,531,526.13,2002,S,ESP,CATEGORY A,N,N
PLYMOUTH,MARIN,FH713,SPICA,C17870,11732,WALES AND WEST COAST FPO LTD,34.6,320,531,526.13,2002,S,ESP,DEEP SEA SPECIES,N,N
PLYMOUTH,NEWLYN,E198,MARGARET OF LADRAM,C20742,12636,SOUTH WESTERN FPO LTD,29.86,264,749,561,1998,S,NLD,CATEGORY A,N,Y
PLYMOUTH,PLYMOUTH,BD247,AURELIA,C17874,12880,CORNISH FPO LTD,19,179,447,334.15,2003,S,GBR,CATEGORY A,N,N
PLYMOUTH,PLYMOUTH,BM14,LADY K,A12819,13124,NON-SECTOR,11.6,20.25,97.74,96.183,1984,S,GBR,CATEGORY A,N,Y
PLYMOUTH,PLYMOUTH,BM422,PROVIDER II,C17264,40959,CORNISH FPO LTD,14,36.03,221,176.45,2001,S,GBR,CATEGORY A,N,N
PLYMOUTH,PLYMOUTH,BM493,OCEAN SPIRIT,C16707,11805,SOUTH WESTERN FPO LTD,13.7,29.69,220,172.98,1999,,GBR,CATEGORY A,N,Y
PLYMOUTH,PLYMOUTH,E123,EMILY J,C18290,12085,CORNISH FPO LTD,11.93,26.53,221,164.588,2004,S,GBR,CATEGORY A,N,Y
PLYMOUTH,PLYMOUTH,FE385,CHARLES EDWARD,C20298,41591,SOUTH WESTERN FPO LTD,14.95,31.34,180,165.617,,S,,CATEGORY A,N,Y
PLYMOUTH,PLYMOUTH,FH6,CELESTIAL DAWN,B10192,12396,NON-SECTOR,11.39,11.35,150,114.199,1988,F,GBR,CATEGORY A,N,N
